2017-04-07 11:53:03 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：117.171.211.59,手机imei码：863904030111834;
2017-04-10 16:24:47 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.25.75,手机imei码：868715027138373;
2017-04-10 16:24:55 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：112.240.198.49,手机imei码：863199038569543;
2017-04-10 16:25:02 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.25.75,手机imei码：868715027138373;
2017-04-10 16:30:06 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：112.240.198.49,手机imei码：863199038569543;
2017-04-10 16:31:05 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 16:31:54 -> 支付id：1,充值的游戏渠道：yhqj_60178_306,支付ip地址：123.161.128.200,手机imei码：863709035111642;
2017-04-10 16:40:46 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.25.75,手机imei码：868715027138373;
2017-04-10 16:41:53 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.25.75,手机imei码：868715027138373;
2017-04-10 16:45:23 -> 支付id：1,充值的游戏渠道：yhqj_60178_306,支付ip地址：171.94.176.165,手机imei码：861029030642760;
2017-04-10 16:45:57 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：42.199.54.171,手机imei码：862630032961170;
2017-04-10 16:46:44 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：42.199.54.171,手机imei码：862630032961170;
2017-04-10 16:49:40 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.40.200,手机imei码：868912023858696;
2017-04-10 16:50:17 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：112.240.198.49,手机imei码：863199038569543;
2017-04-10 16:50:46 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：115.82.49.84,手机imei码：356772060410150;
2017-04-10 16:51:11 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 16:52:40 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：110.152.225.4,手机imei码：864359032558632;
2017-04-10 16:52:53 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：110.152.225.4,手机imei码：864359032558632;
2017-04-10 16:53:03 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：110.152.225.4,手机imei码：864359032558632;
2017-04-10 16:58:02 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 16:58:58 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 16:59:56 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 17:01:57 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 17:03:10 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 17:03:19 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.97.55.64,手机imei码：860482033199083;
2017-04-10 17:03:37 -> 支付id：1,充值的游戏渠道：yhqj_60178_269,支付ip地址：124.160.218.96,手机imei码：864105038387629;
2017-04-10 17:10:18 -> 支付id：1,充值的游戏渠道：yhqj_60178_269,支付ip地址：39.187.117.146,手机imei码：861414038843042;
2017-04-10 17:11:12 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：111.15.93.183,手机imei码：867280023978885;
2017-04-10 17:13:48 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：117.136.67.165,手机imei码：862096031897452;
2017-04-10 17:14:39 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：175.7.69.167,手机imei码：A1000050643A8E;
2017-04-10 17:14:51 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.40.200,手机imei码：868912023858696;
2017-04-10 17:14:54 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：116.231.93.145,手机imei码：867514028382002;
2017-04-10 17:15:09 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：116.231.93.145,手机imei码：867514028382002;
2017-04-10 17:16:50 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.186.199,手机imei码：868807028915634;
2017-04-10 17:17:40 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.170.151,手机imei码：860714234991953;
2017-04-10 17:17:45 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.170.151,手机imei码：860714234991953;
2017-04-10 17:18:16 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.170.151,手机imei码：860714234991953;
2017-04-10 17:19:18 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.170.151,手机imei码：860714234991953;
2017-04-10 17:19:33 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.170.151,手机imei码：860714234991953;
2017-04-10 17:23:03 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.170.151,手机imei码：860714234991953;
2017-04-10 17:41:13 -> 支付id：1,充值的游戏渠道：yhqj_60178_283,支付ip地址：39.78.6.191,手机imei码：862490030514236;
2017-04-10 17:41:25 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-10 17:43:03 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：49.216.65.49,手机imei码：355693062394732;
2017-04-10 17:46:11 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.170.151,手机imei码：860714234991953;
2017-04-10 17:50:23 -> 支付id：1,充值的游戏渠道：yhqj_60178_283,支付ip地址：39.78.6.191,手机imei码：862490030514236;
2017-04-10 17:50:54 -> 支付id：1,充值的游戏渠道：yhqj_60178_283,支付ip地址：39.78.6.191,手机imei码：862490030514236;
2017-04-10 18:05:48 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-10 18:25:05 -> 支付id：1,充值的游戏渠道：yhqj_60178_307,支付ip地址：183.209.252.23,手机imei码：863339039595515;
2017-04-10 18:25:12 -> 支付id：1,充值的游戏渠道：yhqj_60178_307,支付ip地址：183.209.252.23,手机imei码：863339039595515;
2017-04-10 18:36:00 -> 支付id：1,充值的游戏渠道：mhsw_60137_305,支付ip地址：117.136.16.187,手机imei码：359583076138009;
2017-04-10 18:38:13 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.234.4,手机imei码：860832036057821;
2017-04-10 18:38:14 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.234.159,手机imei码：860832036057821;
2017-04-10 18:38:21 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.232.168,手机imei码：860832036057821;
2017-04-10 18:38:21 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.233.239,手机imei码：860832036057821;
2017-04-10 18:38:35 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：119.130.25.86,手机imei码：860832036057821;
2017-04-10 18:38:36 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.232.68,手机imei码：860832036057821;
2017-04-10 18:38:42 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.233.162,手机imei码：860832036057821;
2017-04-10 18:38:43 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.233.134,手机imei码：860832036057821;
2017-04-10 18:38:47 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.235.181,手机imei码：860832036057821;
2017-04-10 18:38:47 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：113.68.65.252,手机imei码：860832036057821;
2017-04-10 18:38:50 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.234.4,手机imei码：860832036057821;
2017-04-10 18:38:51 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.233.211,手机imei码：860832036057821;
2017-04-10 18:38:58 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：106.109.53.130,手机imei码：A0000060AE92F4;
2017-04-10 18:39:00 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.233.211,手机imei码：860832036057821;
2017-04-10 18:39:00 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.232.21,手机imei码：860832036057821;
2017-04-10 18:39:34 -> 支付id：1,充值的游戏渠道：tmfyol_60168_225,支付ip地址：223.104.25.85,手机imei码：868715027138373;
2017-04-10 18:41:28 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.233.211,手机imei码：860832036057821;
2017-04-10 18:41:28 -> 支付id：1,充值的游戏渠道：djkw_60145_304,支付ip地址：61.140.234.236,手机imei码：860832036057821;
2017-04-10 18:43:30 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：106.109.53.130,手机imei码：A0000060AE92F4;
2017-04-10 18:44:03 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：106.109.53.130,手机imei码：A0000060AE92F4;
2017-04-10 18:44:28 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：106.109.53.130,手机imei码：A0000060AE92F4;
2017-04-10 18:44:54 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：106.109.53.130,手机imei码：A0000060AE92F4;
2017-04-10 19:01:32 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：106.109.53.130,手机imei码：A0000060AE92F4;
2017-04-10 19:02:55 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:03:12 -> 支付id：1,充值的游戏渠道：gmdl_60181_273,支付ip地址：121.56.127.140,手机imei码：861845032603512;
2017-04-10 19:03:46 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:04:12 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:10:41 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：112.96.37.190,手机imei码：862636030234833;
2017-04-10 19:11:29 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：112.96.37.190,手机imei码：862636030234833;
2017-04-10 19:18:12 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:18:27 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:20:00 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:20:09 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:22:44 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:22:55 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:22:57 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.145.46.104,手机imei码：863473021055988;
2017-04-10 19:23:04 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:24:44 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:26:11 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:26:21 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:28:04 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：183.13.170.151,手机imei码：;
2017-04-10 19:31:12 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：60.163.24.228,手机imei码：867905029528769;
2017-04-10 19:37:42 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：139.206.70.178,手机imei码：A100004DB2B81B;
2017-04-10 19:37:57 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：139.206.70.178,手机imei码：A100004DB2B81B;
2017-04-10 19:38:42 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：139.206.70.178,手机imei码：A100004DB2B81B;
2017-04-10 19:45:19 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：60.163.24.228,手机imei码：867905029528769;
2017-04-10 19:45:53 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：60.163.24.228,手机imei码：867905029528769;
2017-04-10 19:52:30 -> 支付id：1,充值的游戏渠道：jztl_60118_305,支付ip地址：180.111.34.207,手机imei码：861875036769662;
2017-04-10 19:58:39 -> 支付id：1,充值的游戏渠道：gmdl_60181_292,支付ip地址：113.242.46.139,手机imei码：862689030779554;
2017-04-10 20:01:40 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-10 20:02:03 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-10 20:25:15 -> 支付id：1,充值的游戏渠道：szol_60153_169,支付ip地址：223.102.108.68,手机imei码：834509000725251;
2017-04-10 20:25:16 -> 支付id：1,充值的游戏渠道：szol_60153_169,支付ip地址：223.102.108.68,手机imei码：834509000725251;
2017-04-10 20:31:50 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.136.79.223,手机imei码：869288026325473;
2017-04-10 20:43:51 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 20:44:04 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 20:44:32 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 20:45:53 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 20:47:36 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：101.247.188.221,手机imei码：867707023479092;
2017-04-10 20:57:43 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 20:57:51 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 20:58:20 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 21:06:28 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-10 21:10:06 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：113.8.65.57,手机imei码：868897024046823;
2017-04-10 21:10:06 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：113.8.65.57,手机imei码：868897024046823;
2017-04-10 21:26:56 -> 支付id：1,充值的游戏渠道：jztl_60118_211,支付ip地址：112.17.247.25,手机imei码：865700020833330;
2017-04-10 21:46:22 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：101.247.188.221,手机imei码：867707023479092;
2017-04-10 21:51:14 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：182.44.229.14,手机imei码：867323020132419;
2017-04-10 22:21:46 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：49.223.186.253,手机imei码：865206028163001;
2017-04-10 22:25:39 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：36.99.94.150,手机imei码：869394024109552;
2017-04-10 22:49:32 -> 支付id：1,充值的游戏渠道：tmfyol_60168_283,支付ip地址：119.183.104.243,手机imei码：865586022336913;
2017-04-10 22:52:36 -> 支付id：1,充值的游戏渠道：tmfyol_60168_273,支付ip地址：36.45.16.194,手机imei码：A1000048EF3C39;
2017-04-10 22:57:54 -> 支付id：1,充值的游戏渠道：tmfyol_60168_273,支付ip地址：36.45.16.194,手机imei码：A1000048EF3C39;
2017-04-10 23:06:36 -> 支付id：1,充值的游戏渠道：yhqj_60178_283,支付ip地址：223.116.79.184,手机imei码：869014029522704;
2017-04-10 23:24:38 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：36.149.79.171,手机imei码：864078032244957;
2017-04-10 23:29:39 -> 支付id：1,充值的游戏渠道：yhqj_60178_168,支付ip地址：111.163.198.143,手机imei码：869723024257609;
2017-04-10 23:30:49 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：36.149.79.171,手机imei码：864078032244957;
2017-04-10 23:34:51 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：60.163.24.228,手机imei码：867905029528769;
2017-04-10 23:53:47 -> 支付id：1,充值的游戏渠道：szol_60153_283,支付ip地址：39.78.192.158,手机imei码：867921025726976;
2017-04-10 23:53:47 -> 支付id：1,充值的游戏渠道：szol_60153_283,支付ip地址：39.78.192.158,手机imei码：867921025726976;
2017-04-11 00:05:45 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：223.90.213.87,手机imei码：862119033597910;
2017-04-11 00:05:46 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：223.90.213.87,手机imei码：862119033597910;
2017-04-11 00:31:29 -> 支付id：1,充值的游戏渠道：jztl_60118_283,支付ip地址：125.94.23.98,手机imei码：A100004CEF7B53;
2017-04-11 00:33:41 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：124.117.141.8,手机imei码：864359032558632;
2017-04-11 00:42:28 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.29.134,手机imei码：868912023858696;
2017-04-11 00:43:45 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.29.134,手机imei码：868912023858696;
2017-04-11 00:45:10 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：123.169.234.59,手机imei码：860473031195371;
2017-04-11 00:45:26 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-11 00:47:35 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：117.136.26.16,手机imei码：864359032558632;
2017-04-11 00:58:04 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：116.54.62.74,手机imei码：862142033684199;
2017-04-11 01:03:17 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.136.79.231,手机imei码：869288026325473;
2017-04-11 01:35:41 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：124.228.218.54,手机imei码：868808026328523;
2017-04-11 01:35:41 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：124.228.218.54,手机imei码：868808026328523;
2017-04-11 02:14:56 -> 支付id：1,充值的游戏渠道：jztl_60118_168,支付ip地址：112.28.144.38,手机imei码：868809025510707;
2017-04-11 02:40:53 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.20.166,手机imei码：869322025483643;
2017-04-11 02:56:27 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：117.136.63.155,手机imei码：863389034020050;
2017-04-11 03:11:21 -> 支付id：1,充值的游戏渠道：tmfyol_60168_257,支付ip地址：153.99.93.63,手机imei码：860077035432530;
2017-04-11 03:19:41 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：39.164.63.119,手机imei码：863209031690236;
2017-04-11 03:36:43 -> 支付id：1,充值的游戏渠道：mhsw_60137_241,支付ip地址：121.69.10.114,手机imei码：864251030803591;
2017-04-11 03:54:58 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：117.136.47.163,手机imei码：867689020252690;
2017-04-11 03:54:59 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：117.136.47.163,手机imei码：867689020252690;
2017-04-11 03:56:28 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.29.134,手机imei码：868912023858696;
2017-04-11 03:59:05 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：117.136.47.163,手机imei码：867689020252690;
2017-04-11 03:59:05 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：117.136.47.163,手机imei码：867689020252690;
2017-04-11 04:00:13 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：117.136.47.163,手机imei码：867689020252690;
2017-04-11 05:57:56 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：113.68.143.7,手机imei码：862124034546643;
2017-04-11 05:57:56 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：113.109.73.5,手机imei码：862124034546643;
2017-04-11 05:58:17 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：113.68.143.7,手机imei码：862124034546643;
2017-04-11 05:58:31 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：113.68.143.7,手机imei码：862124034546643;
2017-04-11 05:58:31 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：113.68.143.7,手机imei码：862124034546643;
2017-04-11 05:58:42 -> 支付id：1,充值的游戏渠道：zlcs_60147_257,支付ip地址：113.109.73.5,手机imei码：862124034546643;
2017-04-11 06:02:42 -> 支付id：1,充值的游戏渠道：yhqj_60178_305,支付ip地址：120.43.132.83,手机imei码：862219031761870;
2017-04-11 06:44:33 -> 支付id：1,充值的游戏渠道：ht_60172_225,支付ip地址：113.223.189.33,手机imei码：A1000054009274;
2017-04-11 07:03:32 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：49.223.186.253,手机imei码：865206028163001;
2017-04-11 08:10:41 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-11 08:13:45 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：140.224.190.16,手机imei码：862609037439457;
2017-04-11 08:31:34 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-11 08:31:59 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-11 08:32:14 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：49.84.164.153,手机imei码：869410022279039;
2017-04-11 08:46:17 -> 支付id：1,充值的游戏渠道：tmfyol_60168_273,支付ip地址：36.45.16.194,手机imei码：A1000048EF3C39;
2017-04-11 08:56:51 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-11 08:57:57 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：58.16.97.62,手机imei码：A0000060AE92F4;
2017-04-11 09:32:55 -> 支付id：1,充值的游戏渠道：kdyggba_60155_291,支付ip地址：117.174.28.149,手机imei码：861492031430298;
2017-04-11 09:32:55 -> 支付id：1,充值的游戏渠道：kdyggba_60155_291,支付ip地址：117.174.28.149,手机imei码：861492031430298;
2017-04-11 09:44:51 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.126.106,手机imei码：860714234991953;
2017-04-11 09:46:30 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.126.106,手机imei码：860714234991953;
2017-04-11 09:48:15 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.126.106,手机imei码：860714234991953;
2017-04-11 09:59:07 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.126.106,手机imei码：860714234991953;
2017-04-11 10:04:43 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.126.106,手机imei码：860714234991953;
2017-04-11 10:23:52 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.126.106,手机imei码：860714234991953;
2017-04-11 10:30:49 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.126.106,手机imei码：860714234991953;
2017-04-11 10:35:41 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：223.104.23.114,手机imei码：867921024618265;
2017-04-11 10:36:46 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：223.104.23.114,手机imei码：867921024618265;
2017-04-11 10:48:13 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：223.104.23.114,手机imei码：867921024618265;
2017-04-11 10:48:44 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：223.104.23.114,手机imei码：867921024618265;
2017-04-11 11:23:54 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.179.146,手机imei码：864394010742122;
2017-04-11 11:39:51 -> 支付id：1,充值的游戏渠道：default,支付ip地址：183.13.179.146,手机imei码：864394010742122;
2017-04-11 11:48:04 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：110.89.63.151,手机imei码：864188035622677;
2017-04-11 11:48:04 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：110.89.63.151,手机imei码：864188035622677;
2017-04-11 11:48:08 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：110.89.63.151,手机imei码：864188035622677;
2017-04-11 11:48:16 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：110.89.63.151,手机imei码：864188035622677;
2017-04-11 11:57:48 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-11 11:59:44 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-11 14:46:48 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：183.13.179.146,手机imei码：864394010742122;
2017-04-11 14:46:49 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：183.13.179.146,手机imei码：864394010742122;
2017-04-11 14:47:20 -> 支付id：1,充值的游戏渠道：zlcs_60147_305,支付ip地址：183.13.179.146,手机imei码：352514010742124;
2017-04-11 14:47:21 -> 支付id：1,充值的游戏渠道：zlcs_60147_305,支付ip地址：183.13.179.146,手机imei码：352514010742124;
2017-04-11 14:47:33 -> 支付id：1,充值的游戏渠道：jztl_60118_121,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-11 14:47:49 -> 支付id：1,充值的游戏渠道：zlcs_60147_306,支付ip地址：183.13.179.146,手机imei码：359538010742126;
2017-04-11 14:47:50 -> 支付id：1,充值的游戏渠道：zlcs_60147_306,支付ip地址：183.13.179.146,手机imei码：359538010742126;
2017-04-11 14:47:55 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：112.96.176.111,手机imei码：860138030972001;
2017-04-11 14:47:56 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：112.96.176.111,手机imei码：860138030972001;
